"Idea ID"	"Submitted Date/Time"	"Idea Status"	"Creator ID"	"Creator Department"	"Number of times the Idea has been shared"	"Number of Votes"	"Number of Comments"	"Number of Views"	"Keywords"
8607	"2024-04-22 09:33:37"	"Consultation"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	1	0	20	"#APRILKO24, RELEASE NOTES, KNOWLEDGEBASE, KNOWLEDGE BASE, DOCASCODE, DOC-AS-CODE"
8606	"2024-04-19 15:05:43"	"Consultation"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	1	2	26	"RELEASE NOTES, RELEASE, PRODUCT VERSION, PRODUCT RELEASE, #APRILKO24"
8604	"2024-04-19 13:37:23"	"Consultation"	"36efc743c63546169c27f929081ea63c"	" "	0	1	2	12	"REGISTRATION, WAZOKU CROWD"
8595	"2024-04-19 10:00:55"	"Consultation"	"b725afc984f34e47b5828d3846ff9f14"	" "	0	0	2	21	" "
8584	"2024-04-12 08:41:11"	"Consultation"	"b725afc984f34e47b5828d3846ff9f14"	" "	0	1	0	1	" "
8593	"2024-04-12 08:34:52"	"Consultation"	"b725afc984f34e47b5828d3846ff9f14"	" "	0	1	2	15	" "
8591	"2024-04-09 12:16:36"	"Consultation"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	0	1	7	" "
8579	"2024-04-02 11:41:22"	"Consultation"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	2	0	6	" "
8573	"2024-03-27 19:38:59"	"Consultation"	"15569ad42217426e9fe1c9b1a9f06837"	"Customer Success Management"	0	0	3	22	" "
8565	"2024-03-26 16:45:08"	"Consultation"	"cafee1261db041efafe39923befc8ddf"	" "	0	0	2	13	"FORM BUILDER, PROFILE FIELDS, TERMS AND CONDITIONS, SSO, LOGIN"
8564	"2024-03-26 12:55:32"	"Completed"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	6	6	38	"TECHNICAL SUPPORT, KNOWLEDGE BASE, WEBSITE, CONTENT, TRANSPARENCY, SUPPORT ARTICLE"
8561	"2024-03-25 12:02:43"	"Not Selected"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	1	0	6	"STAGE, WORKFLOW, CHALLENGE BUILDER, CHALLENGE MANAGEMENT"
8205	"2024-03-25 11:24:16"	"Not Selected"	"b725afc984f34e47b5828d3846ff9f14"	" "	0	0	0	14	"DARK, THEME, BLACK, COLOR SCHEME"
8556	"2024-03-22 11:11:18"	"Consultation"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	3	7	30	"NOTIFICATIONS, WHATS NEW, ANNOUNCEMENTS, SCHEDULED MAINTENANCE"
8554	"2024-03-22 09:11:57"	"Consultation"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	4	2	37	" "
8553	"2024-03-21 20:23:03"	"Consultation"	"463bb2a48908444da9b7801d398ae6f0"	" "	0	1	1	27	"STOCK IMAGES, HOMEPAGE TEMPLATES"
8550	"2024-03-20 11:18:57"	"Concept"	"8d59198c4a4a4c82bf278da1c125abe0"	" "	0	0	0	7	" "
8528	"2024-03-19 12:09:45"	"Consultation"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	0	1	6	" "
8526	"2024-03-18 09:51:26"	"Concept"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	0	3	9	"MS TEAMS, SSO, PROFILE FIELDS, FIELD MAPPING"
8520	"2024-03-15 09:31:09"	"Concept"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	0	0	10	" "
8518	"2024-03-14 17:07:55"	"Not Selected"	"463bb2a48908444da9b7801d398ae6f0"	" "	0	0	4	8	" "
8516	"2024-03-14 13:50:54"	"Consultation"	"b725afc984f34e47b5828d3846ff9f14"	" "	0	2	2	12	" "
8514	"2024-03-14 10:43:10"	"In Evaluation"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	1	4	31	"ANALYTICS, PERMISSIONS, DASHBOARDS, VISIBILITY"
8510	"2024-03-12 17:54:22"	"Concept"	"463bb2a48908444da9b7801d398ae6f0"	" "	0	0	0	4	"FORM ORDER, IDEA OVERVIEW"
8504	"2024-03-11 15:39:49"	"Consultation"	"cafee1261db041efafe39923befc8ddf"	" "	0	1	2	13	" "
8486	"2024-03-08 11:10:07"	"Consultation"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	3	0	15	"SEARCH, SEARCHING, USER EXPERIENCE, SETTINGS, FIND SETTING, SEARCH FOR SETTING, SMART SEARCH"
8476	"2024-03-07 13:07:22"	"Concept"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	0	0	3	" "
8475	"2024-03-07 13:00:06"	"Consultation"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	3	1	10	"EVALUATION"
8474	"2024-03-07 12:52:43"	"Consultation"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	3	2	13	" "
8470	"2024-03-06 14:35:24"	"Concept"	"8d59198c4a4a4c82bf278da1c125abe0"	" "	0	0	0	9	" "
8469	"2024-03-06 13:38:09"	"Concept"	"8d59198c4a4a4c82bf278da1c125abe0"	" "	0	0	0	2	" "
8463	"2024-03-05 17:19:48"	"Consultation"	"c737d38fc54d4a3a89b13b7d5a65adbb"	" "	0	4	4	47	"USER EXPERIENCE"
8461	"2024-03-05 13:12:28"	"Consultation"	"c8f6b1e15915484c97c32c11d31a37fc"	"Software Development"	0	4	3	11	" "
8008	"2024-03-03 14:37:37"	"Consultation"	"6985054464b94ac99f38119c18ad2331"	" "	0	1	4	25	" "
8456	"2024-03-01 18:05:28"	"Consultation"	"00397f7ecdee465c835d201c48741489"	" "	0	3	0	8	"UI/UX, IDEA, COMMENTS"
8449	"2024-03-01 10:27:20"	"Consultation"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	1	2	34	"SWITCH USER ROLES, PERMISSIONS, USER PERMISSIONS, EDIT PERMISSIONS, CUSTOM ROLES"
8443	"2024-02-28 18:36:47"	"Consultation"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	1	2	31	" "
8438	"2024-02-28 10:40:10"	"Consultation"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	0	1	12	" "
8437	"2024-02-28 10:36:59"	"Consultation"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	0	7	25	"UX, NOTIFICATIONS"
8436	"2024-02-28 10:34:04"	"Concept"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	0	0	10	" "
8435	"2024-02-28 10:04:28"	"Approved"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	0	4	25	" "
8434	"2024-02-28 10:00:06"	"Concept"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	0	24	" "
8418	"2024-02-27 13:28:38"	"Consultation"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	1	0	12	" "
8416	"2024-02-27 13:27:20"	"Consultation"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	2	0	14	"OPEN API, API, PUBLIC API, SPOTLIGHT API"
8415	"2024-02-27 13:26:19"	"Consultation"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	2	0	15	"OPEN API, WAZOKU API, PUBLIC API, API, SPOTLIGHT API"
8404	"2024-02-26 11:54:12"	"Consultation"	"b725afc984f34e47b5828d3846ff9f14"	" "	0	1	0	2	" "
8403	"2024-02-26 11:43:52"	"Concept"	"b725afc984f34e47b5828d3846ff9f14"	" "	0	0	0	3	" "
8398	"2024-02-23 13:19:23"	"Consultation"	"c8f6b1e15915484c97c32c11d31a37fc"	"Software Development"	0	4	2	12	"COMMENTS, TEXT FIELD, ATTACHMENTS"
8392	"2024-02-22 13:42:51"	"Consultation"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	0	8	39	" "
8380	"2024-02-21 12:00:05"	"Consultation"	"b725afc984f34e47b5828d3846ff9f14"	" "	0	1	2	35	" "
8377	"2024-02-21 11:32:20"	"Concept"	"b725afc984f34e47b5828d3846ff9f14"	" "	0	0	0	8	"IDEA, FORM, BANNER, MESSAGE"
8378	"2024-02-21 11:31:12"	"Not Selected"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	0	2	40	" "
8375	"2024-02-20 16:11:54"	"Not Selected"	"463bb2a48908444da9b7801d398ae6f0"	" "	0	0	0	3	" "
8370	"2024-02-17 14:02:54"	"Completed"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	2	5	48	" "
8320	"2024-02-15 17:41:29"	"Consultation"	"85fba9ba6dfe4cc0b380b9010abc38bc"	" "	0	1	4	25	" "
8292	"2024-02-15 11:56:02"	"Consultation"	"b725afc984f34e47b5828d3846ff9f14"	" "	0	1	4	26	" "
8281	"2024-02-14 13:26:23"	"Consultation"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	1	0	8	" "
8271	"2024-02-13 11:22:51"	"In Evaluation"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	0	9	50	"CHALLENGE BUILDER"
8258	"2024-02-12 10:40:11"	"Approved"	"cafee1261db041efafe39923befc8ddf"	" "	0	0	6	36	" "
8250	"2024-02-08 15:52:06"	"Not Selected"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	0	3	13	" "
8244	"2024-02-08 13:57:21"	"Consultation"	"00397f7ecdee465c835d201c48741489"	" "	0	3	0	14	"XSS, MODERATION, LOGIN"
8228	"2024-02-08 07:00:58"	"Consultation"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	0	4	14	"GENAI, SELF-SERVE, CROWD'S CHOICE"
8223	"2024-02-07 14:02:42"	"Approved"	"15569ad42217426e9fe1c9b1a9f06837"	"Customer Success Management"	0	2	3	23	"TEAM MEMBER, IDEA CREATOR, PDF EXPORT"
8199	"2024-02-01 09:08:06"	"Consultation"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	1	7	33	" "
8197	"2024-01-31 13:58:32"	"Consultation"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	1	3	18	"DATA, ARTICLE SUBMISSION"
8196	"2024-01-31 13:53:28"	"Approved"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	0	4	43	"CANVAS, PRODUCT MANAGEMENT, GTM"
8188	"2024-01-28 17:02:28"	"Consultation"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	5	16	" "
8183	"2024-01-25 16:22:42"	"Consultation"	"cafee1261db041efafe39923befc8ddf"	" "	0	0	2	9	" "
8182	"2024-01-25 15:20:12"	"Not Selected"	"463bb2a48908444da9b7801d398ae6f0"	" "	0	0	4	13	" "
8177	"2024-01-25 10:28:18"	"Concept"	"b689c4ea319144e188b643cfbcf67f59"	" "	0	0	3	2	" "
8164	"2024-01-18 12:53:22"	"Consultation"	"c8f6b1e15915484c97c32c11d31a37fc"	"Software Development"	0	2	1	25	"DISCOVER, FILTERS, SEE CONTENT"
8146	"2024-01-12 08:36:34"	"Concept"	"917154fd298d4c149ace5f5c7d130425"	" "	0	0	0	6	"LANGUAGE, TRANSLATION, API, INTEGRATIONS"
8134	"2024-01-10 11:55:53"	"Consultation"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	2	9	46	"RIGHT TO LEFT, LANGUAGE, SAUDI ARABIA"
8103	"2023-12-20 15:47:34"	"Not Selected"	"bc573520df9a4907a23f9b001da7115f"	" "	0	1	1	17	" "
8102	"2023-12-19 19:56:14"	"Consultation"	"c8f6b1e15915484c97c32c11d31a37fc"	"Software Development"	0	6	0	17	"INTEGRATIONS, PUBLIC API, ADMIN"
8058	"2023-12-06 17:35:46"	"Consultation"	"463bb2a48908444da9b7801d398ae6f0"	" "	0	2	1	13	"BUTTON"
8037	"2023-12-01 16:08:07"	"Completed"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	0	2	34	" "
8033	"2023-12-01 15:14:41"	"In Evaluation"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	1	1	22	" "
7997	"2023-11-28 09:16:54"	"Consultation"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	0	6	33	"HOMEPAGE, USER EXPERIENCE, UI/UX"
7995	"2023-11-27 21:41:13"	"Consultation"	"463bb2a48908444da9b7801d398ae6f0"	" "	0	0	1	8	"CHATBOT"
7961	"2023-11-22 10:33:24"	"Consultation"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	0	3	8	"#HOMEPAGE"
7903	"2023-11-08 17:12:47"	"Consultation"	"76ab5fe6bb9c43b5949d0f02c1043d6a"	"Sales"	0	0	3	33	"RECOMMENDATIONS, AI"
7902	"2023-11-08 17:05:14"	"Concept"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	0	0	4	"MOBILE, APP"
7901	"2023-11-08 16:47:10"	"Completed"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	1	2	18	"MOBILE, FINGERPRINT"
7900	"2023-11-08 16:40:52"	"Not Selected"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	0	0	7	"FAROE ISLANDS"
7899	"2023-11-08 16:34:46"	"Consultation"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	2	8	22	" "
7898	"2023-11-08 16:31:04"	"Consultation"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	2	4	27	"CHALLENGE, ENGAGEMENT, UI/UX"
7876	"2023-11-06 14:39:20"	"Concept"	"8d59198c4a4a4c82bf278da1c125abe0"	" "	0	0	0	12	"ATTACHMENTS"
7841	"2023-11-02 13:22:01"	"Consultation"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	0	2	7	"EVALUATOR"
7840	"2023-11-02 13:14:44"	"Consultation"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	4	0	8	"NOTIFICATION, NOTIFICATIONS, MESSAGING"
7839	"2023-11-02 12:32:27"	"Concept"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	0	0	3	"EVALUATION, TASKS, TASK LIST"
7838	"2023-11-02 12:28:02"	"Concept"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	0	0	2	"EVALUATION NOTIFICATIONS"
7830	"2023-10-31 17:10:20"	"In Evaluation"	"cafee1261db041efafe39923befc8ddf"	" "	0	0	3	16	"COMPANY"
7797	"2023-10-25 18:18:57"	"Not Selected"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	0	5	47	"IDEA, MANAGER, IDEA MANAGER"
7796	"2023-10-25 18:13:24"	"Concept"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	0	0	7	"CHALLENGE, FORMS, ADHOC, DEVELOPMENT STAGE"
7790	"2023-10-24 12:09:27"	"Concept"	"033606bed1eb4f108f7d6fbfeecec5b9"	"Sales"	0	0	0	30	"AI, TRAINING, TECHNICAL SUPPORT, SUPPORT ARTICLE, CUSTOMER SUCCESS, HELP DESK, HELP"
7722	"2023-10-05 16:24:21"	"Not Selected"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	2	8	23	"WAZOKU CROWD"
7703	"2023-09-27 10:12:16"	"Consultation"	"85fba9ba6dfe4cc0b380b9010abc38bc"	" "	0	3	7	25	" "
7696	"2023-09-25 13:06:49"	"Completed"	"85fba9ba6dfe4cc0b380b9010abc38bc"	" "	0	1	10	31	"DRAFTS"
7682	"2023-09-20 15:57:47"	"In Evaluation"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	1	10	38	"COMPANY, CO-CREATION COMMUNITY"
7675	"2023-09-18 15:59:15"	"Concept"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	0	0	9	"SEARCH, AI"
7653	"2023-09-14 13:23:24"	"Consultation"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	3	12	27	"EMBED, INTEGRATIONS, UX"
7651	"2023-09-14 11:11:59"	"Consultation"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	0	3	6	"ARCHIVE, CHALLENGE, IDEAS, UI/UX"
7623	"2023-09-07 13:31:29"	"Not Selected"	"cafee1261db041efafe39923befc8ddf"	" "	0	0	1	10	"BUTTON, UX"
7604	"2023-08-31 17:18:36"	"Consultation"	"033606bed1eb4f108f7d6fbfeecec5b9"	"Sales"	0	2	2	14	"AI, USER EXPERIENCE, ENGAGEMENT, NOTIFICATIONS"
7601	"2023-08-31 16:53:28"	"Not Selected"	"885475b36efe4cecaa7f582bb292384f"	" "	0	1	6	23	" "
7567	"2023-08-23 10:57:34"	"Consultation"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	1	5	13	"INTEGRATION"
7563	"2023-08-22 14:32:40"	"Consultation"	"9639b082c8e34005d695226693fef7ec"	" "	0	1	0	8	"CANVAS"
7509	"2023-08-11 09:14:59"	"Concept"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	0	0	10	" "
7484	"2023-08-04 14:45:18"	"Consultation"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	2	4	24	"STATUS, STATUS COLOUR"
7478	"2023-08-03 16:13:21"	"Not Selected"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	0	1	2	"DISCUSS, EDITING"
7476	"2023-08-03 14:46:32"	"Consultation"	"15569ad42217426e9fe1c9b1a9f06837"	"Customer Success Management"	0	2	1	13	"FORM FIELD"
7447	"2023-07-28 16:50:19"	"Concept"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	0	0	14	"AI, VERIFICATION"
7304	"2023-07-19 11:15:30"	"Concept"	"58486f6f3e834e60b49c8f448b4c0fb4"	"Operations"	0	3	0	9	" "
7302	"2023-07-19 11:10:51"	"Concept"	"58486f6f3e834e60b49c8f448b4c0fb4"	"Operations"	0	1	2	2	" "
7278	"2023-07-17 13:50:30"	"Consultation"	"cafee1261db041efafe39923befc8ddf"	" "	0	1	1	31	"ANALYTICS"
7252	"2023-07-04 15:29:30"	"In Evaluation"	"44222684bbba45bca8869314b97ba911"	" "	0	2	1	23	" "
7174	"2023-06-20 17:36:25"	"Consultation"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	2	1	13	"AI"
7141	"2023-06-12 17:25:18"	"Completed"	"85fba9ba6dfe4cc0b380b9010abc38bc"	" "	0	1	2	31	" "
7130	"2023-06-10 22:50:32"	"Not Selected"	"55171484091d40eaa67ad68087caa899"	"Product"	0	1	3	3	" "
7065	"2023-05-22 11:02:01"	"In Evaluation"	"885475b36efe4cecaa7f582bb292384f"	" "	0	0	2	70	"CHILD SPACES, CHALLENGE CENTER, CLONING"
7064	"2023-05-22 10:36:08"	"Consultation"	"1bc7c1e4ebb34d67ad3a2609149b081c"	"Customer Experience"	0	0	1	15	"IDEA SPACE, DELETE, NESTED IDEA SPACES"
7023	"2023-05-05 15:59:20"	"Not Selected"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	0	1	18	"RATING SYSTEM, DELETE, REMOVE"
7014	"2023-05-03 16:20:05"	"In Evaluation"	"1bc7c1e4ebb34d67ad3a2609149b081c"	"Customer Experience"	0	0	2	27	"CHALLENGE CENTER, WAZOKU CROWD, MY FOLLOWED CONTENT"
7005	"2023-04-28 17:45:03"	"Consultation"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	0	3	29	"IDEA SPACE, ACCESS"
6968	"2023-04-25 10:49:59"	"In Evaluation"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	1	3	63	"OPEN SOURCE, OPEN INNOVATION, COMMUNITY, LICENCE"
6953	"2023-04-14 18:15:29"	"Not Selected"	"2ede59dc0d8e4296831abab1ce856fb4"	" "	0	0	0	17	"RICH TEXT, PERSONALISATION, CUSTOMIZATION"
6938	"2023-04-12 09:40:36"	"Not Selected"	"0404207400274c3296859e59f002bf05"	"QA"	0	1	1	11	"HOMEPAGE, GROUPS"
6925	"2023-04-05 12:07:46"	"Not Selected"	"1bc7c1e4ebb34d67ad3a2609149b081c"	"Customer Experience"	0	0	1	27	"LANGUAGE, PROFILE LANGUAGE, TRANSLATE"
6920	"2023-04-04 11:14:13"	"In Evaluation"	"cafee1261db041efafe39923befc8ddf"	" "	0	0	2	34	" "
6919	"2023-04-04 11:12:59"	"In Evaluation"	"cafee1261db041efafe39923befc8ddf"	" "	0	0	0	16	" "
6901	"2023-03-28 14:28:57"	"Consultation"	"f9255979f3ee47f5988d5f3df9352cef"	" "	0	0	1	10	"CLOUD, KNOWLEDGE SHARING"
6891	"2023-03-24 09:51:23"	"Not Selected"	"cafee1261db041efafe39923befc8ddf"	" "	0	0	1	19	"PRIVACY, COMMUNITY BASED PRICING, IDEA SPACES"
6854	"2023-03-17 13:29:44"	"In Evaluation"	"15569ad42217426e9fe1c9b1a9f06837"	"Customer Success Management"	0	1	2	61	"TASKS, IMPLEMENTATION"
6835	"2023-03-14 13:49:20"	"Approved"	"76ab5fe6bb9c43b5949d0f02c1043d6a"	"Sales"	0	2	5	30	"EVALUATION"
6790	"2023-03-02 15:39:19"	"Consultation"	"c2afcb535a7b435f80efe6f0b8cd29a7"	" "	0	1	0	10	"SEARCH"
6789	"2023-03-02 15:11:20"	"Concept"	"c2afcb535a7b435f80efe6f0b8cd29a7"	" "	0	1	0	7	"MS TEAMS"
6760	"2023-02-23 17:50:25"	"In Evaluation"	"e183df7a08be40f69bb6e3c869b09799"	" "	0	1	2	22	" "
6754	"2023-02-22 10:33:00"	"Consultation"	"cafee1261db041efafe39923befc8ddf"	" "	0	3	2	14	"IDEA DROP, USER FEED"
6732	"2023-02-20 11:58:57"	"In Evaluation"	"1bc7c1e4ebb34d67ad3a2609149b081c"	"Customer Experience"	0	0	0	18	"CHALLENGE PAGE, CHALLENGE, CONTRIBUTOR, CONTRIBUTOR COUNT, COUNT"
6730	"2023-02-19 15:55:21"	"Consultation"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	2	22	"IDEA HISTORY, CONTENT HISTORY"
6729	"2023-02-19 15:42:12"	"Not Selected"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	5	6	37	"HOMEPAGE, HOMEPAGE_BUILDING"
6728	"2023-02-19 15:20:20"	"Not Selected"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	1	5	46	"ENGAGEMENT"
6723	"2023-02-16 14:14:30"	"Concept"	"1bc7c1e4ebb34d67ad3a2609149b081c"	"Customer Experience"	0	0	0	4	"CATEGORIES, CHALLENGE, CHALLENGE BUILDER"
6608	"2023-02-12 14:04:50"	"Approved"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	3	78	" "
6607	"2023-02-12 13:48:40"	"Consultation"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	2	42	"IDEA SCORE, EVALUATION"
6606	"2023-02-12 13:37:19"	"In Evaluation"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	1	32	"RATING SYSTEM"
6605	"2023-02-12 13:16:26"	"Consultation"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	4	55	"INNOVATION SCORE"
6577	"2023-02-03 13:18:37"	"Completed"	"cafee1261db041efafe39923befc8ddf"	" "	0	0	4	31	"ANONYMOUS, IDEA CLOAK, ADOPTION"
6575	"2023-02-03 10:59:11"	"Not Selected"	"cafee1261db041efafe39923befc8ddf"	" "	0	0	1	3	"CLICK, IDP"
6574	"2023-02-03 10:57:30"	"Consultation"	"cafee1261db041efafe39923befc8ddf"	" "	0	0	1	6	"IDP"
6573	"2023-02-02 13:33:53"	"Not Selected"	"8fe2f8e268454c2aaa94deac98211b26"	" "	0	1	0	18	"DATA ACCESS, DATA, FINANCIAL DATA"
6564	"2023-02-01 09:08:52"	"Consultation"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	0	1	35	"NAVIGATION, USERS, USER EXPERIENCE, USER MANAGEMENT, PROFILE, COMMUNITY"
6551	"2023-01-27 11:01:45"	"In Evaluation"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	0	9	32	"HIDDEN STAGE, WORKFLOW"
